
3791650816 bytes (3.8 GB, 3.5 GiB) copied, 305 s, 12.4 MB/s
3808428032 bytes (3.8 GB, 3.5 GiB) copied, 306 s, 12.4 MB/s
3825205248 bytes (3.8 GB, 3.6 GiB) copied, 308 s, 12.4 MB/s
3841982464 bytes (3.8 GB, 3.6 GiB) copied, 308 s, 12.5 MB/s
3858759680 bytes (3.9 GB, 3.6 GiB) copied, 309 s, 12.5 MB/s
3875536896 bytes (3.9 GB, 3.6 GiB) copied, 310 s, 12.5 MB/s
3892314112 bytes (3.9 GB, 3.6 GiB) copied, 311 s, 12.5 MB/s
3909091328 bytes (3.9 GB, 3.6 GiB) copied, 312 s, 12.5 MB/s
3925868544 bytes (3.9 GB, 3.7 GiB) copied, 313 s, 12.5 MB/s
3942645760 bytes (3.9 GB, 3.7 GiB) copied, 314 s, 12.5 MB/s
3959422976 bytes (4.0 GB, 3.7 GiB) copied, 315 s, 12.6 MB/s
3976200192 bytes (4.0 GB, 3.7 GiB) copied, 316 s, 12.6 MB/s
3992977408 bytes (4.0 GB, 3.7 GiB) copied, 317 s, 12.6 MB/s
4009754624 bytes (4.0 GB, 3.7 GiB) copied, 318 s, 12.6 MB/s
4026531840 bytes (4.0 GB, 3.8 GiB) copied, 319 s, 12.6 MB/s
4043309056 bytes (4.0 GB, 3.8 GiB) copied, 320 s, 12.6 MB/s
4060086272 bytes (4.1 GB, 3.8 GiB) copied, 321 s, 12.6 MB/s
4076863488 bytes (4.1 GB, 3.8 GiB) copied, 322 s, 12.7 MB/s
4093640704 bytes (4.1 GB, 3.8 GiB) copied, 323 s, 12.7 MB/s
4110417920 bytes (4.1 GB, 3.8 GiB) copied, 324 s, 12.7 MB/s
4127195136 bytes (4.1 GB, 3.8 GiB) copied, 325 s, 12.7 MB/s
4143972352 bytes (4.1 GB, 3.9 GiB) copied, 326 s, 12.7 MB/s
4160749568 bytes (4.2 GB, 3.9 GiB) copied, 328 s, 12.7 MB/s
4169138176 bytes (4.2 GB, 3.9 GiB) copied, 328 s, 12.7 MB/s
4185915392 bytes (4.2 GB, 3.9 GiB) copied, 329 s, 12.7 MB/s
4202692608 bytes (4.2 GB, 3.9 GiB) copied, 330 s, 12.7 MB/s
4219469824 bytes (4.2 GB, 3.9 GiB) copied, 331 s, 12.7 MB/s
4236247040 bytes (4.2 GB, 3.9 GiB) copied, 332 s, 12.8 MB/s
4253024256 bytes (4.3 GB, 4.0 GiB) copied, 333 s, 12.8 MB/s
4269801472 bytes (4.3 GB, 4.0 GiB) copied, 334 s, 12.8 MB/s
4286578688 bytes (4.3 GB, 4.0 GiB) copied, 335 s, 12.8 MB/s
4303355904 bytes (4.3 GB, 4.0 GiB) copied, 337 s, 12.8 MB/s
